AWIPS_HEADER,DESCRIPTION,RANGE,AVAILABILITY,LongDescription
N3R ,Base Reflectivity (fourth lowest elev. angle) ,124 nm ,N,"A display of echo intensity measured in dBZ. Scientists use these products to detect precipitation, evaluate storm structure, locate boundaries, and determine hail potential. Four or six of the lowest elevations angles are available, depending on the scanning mode of the Radar. Sixteen possible data levels are also available."
N0R ,Base Reflectivity (lowest elev. angle) ,124 nm ,N,"A display of echo intensity measured in dBZ. Scientists use these products to detect precipitation, evaluate storm structure, locate boundaries, and determine hail potential. Four or six of the lowest elevations angles are available, depending on the scanning mode of the Radar. Sixteen possible data levels are also available."
N1R ,Base Reflectivity (second lowest elev. angle) ,124 nm ,N,"A display of echo intensity measured in dBZ. Scientists use these products to detect precipitation, evaluate storm structure, locate boundaries, and determine hail potential. Four or six of the lowest elevations angles are available, depending on the scanning mode of the Radar. Sixteen possible data levels are also available."
N2R ,Base Reflectivity (third lowest elev. angle) ,124 nm ,N,"A display of echo intensity measured in dBZ. Scientists use these products to detect precipitation, evaluate storm structure, locate boundaries, and determine hail potential. Four or six of the lowest elevations angles are available, depending on the scanning mode of the Radar. Sixteen possible data levels are also available."
N1P ,One Hour Precipitation Total ,124nm ,NT,"A display of estimated one-hour precipitation accumulation on a 1.1-nm x 1-degree grid using the Precipitation Processing System (PPS) algorithm. This product assesses rainfall intensities for flash flood warnings, urban flood statements, and special weather statements."
N3P ,Three Hour Precipitation Total ,124nm ,N,"A display of estimated three-hour precipitation accumulation on a 1.1-nm x 1-degree grid using the Precipitation Processing System (PPS) algorithm. This product assesses rainfall intensities for flash flood warnings, urban flood statements, and special weather statements."
NVW ,VAD Wind Profile ,N/A ,NT,"A graphic display of wind barbs plotted on a height staff in 500-ft. or 1,000-ft. increments. The current (far right) and up to 10 previous plots may be displayed simultaneously. This product is an excellent tool for meteorologists in weather forecasting, severe weather, and aviation."
N0W ,Base Velocity ,32 nm ,N,"A measure of the radial component of the wind either toward the radar (negative values) or away from the radar (positive values). Cool colors (green) represent negative values and warm colors (red) represent positive values. Scientists use these products to estimate wind speed and direction, locate boundaries, locate severe weather signatures, and identify suspected areas of turbulence."
N3V ,Base Velocity (fourth lowest elev. angle) ,124 nm ,N,"A measure of the radial component of the wind either toward the radar (negative values) or away from the radar (positive values). Cool colors (green) represent negative values and warm colors (red) represent positive values. Scientists use these products to estimate wind speed and direction, locate boundaries, locate severe weather signatures, and identify suspected areas of turbulence."
N0V ,Base Velocity (lowest elev. angle) ,124 nm ,N,"A measure of the radial component of the wind either toward the radar (negative values) or away from the radar (positive values). Cool colors (green) represent negative values and warm colors (red) represent positive values. Scientists use these products to estimate wind speed and direction, locate boundaries, locate severe weather signatures, and identify suspected areas of turbulence."
N1V ,Base Velocity (second lowest elev. angle) ,124 nm ,N,"A measure of the radial component of the wind either toward the radar (negative values) or away from the radar (positive values). Cool colors (green) represent negative values and warm colors (red) represent positive values. Scientists use these products to estimate wind speed and direction, locate boundaries, locate severe weather signatures, and identify suspected areas of turbulence."
N2V ,Base Velocity (third lowest elev. angle) ,124 nm ,N,"A measure of the radial component of the wind either toward the radar (negative values) or away from the radar (positive values). Cool colors (green) represent negative values and warm colors (red) represent positive values. Scientists use these products to estimate wind speed and direction, locate boundaries, locate severe weather signatures, and identify suspected areas of turbulence."
NSP ,Base Spectrum Width ,32 nm ,N,A measure of velocity dispersion within the radar sample volume. The primary use of this product is to estimate turbulence associated with mesocyclones and boundaries.
NSW ,Base Spectrum Width ,124 nm ,N,A measure of velocity dispersion within the radar sample volume. The primary use of this product is to estimate turbulence associated with mesocyclones and boundaries.
NHI ,Hail Index ,124nm ,NT,A product designed to locate storms that have the potential to produce hail. Scientists label hail potential as either probable (hollow green triangle) or positive (filled green triangle). Probable means the storm is probably producing hail and positive means the storm is producing hail.
NST ,Storm Tracking Information ,186 nm ,NT,"A product that shows a plot of the past hours movement, current location, and forecast movement for the next hour or less for each identified thunderstorm cell. Scientists use this product to determine reliable storm movement."
NTV ,Tornadic Vortex Signature ,124nm ,NT,"A product, which shows an intense gate-to-gate azimuthal shear, associated with tornadic- scale rotation. It depicts the tornadic vortex signature by a red triangle with numerical output of location and height."
NSS ,Storm Structure ,248nm ,N,"A table displaying information on storm attributes, which include maximum reflectivity, maximum velocity at lowest elevation angle, storm overhang, mass weighted storm volume, storm area base and top, storm position, and storm tilt."
RCM ,Radar Coded Message ,248nm ,N,"A three-part message containing a tabular listing of composite reflectivity data, a vertical wind profile derived from the VAD algorithm, and the locations of algorithm-produced severe weather features such as the Hail Index (HI) and the Tornado Vortex Signature (TVS)."
NET ,Echo Tops ,124 nm ,NT,"An image of the echo top heights color-coded in user-defined increments. Scientists use this product for a quick estimation of the most intense convection and higher echo tops, as an aid in identification of storm structure features, and for pilot briefing purposes."
NCR ,Composite Reflectivity (16 Levels) ,124 nm ,NT,"Composite Reflectivity is a display of maximum reflectivity for the total volume within the range of the radar. These products reveal the highest reflectivities in all echoes, examine storm structure features, and determine the intensity of storms."
NCZ ,Composite Reflectivity (16 Levels) ,248 nm ,N,"Composite Reflectivity is a display of maximum reflectivity for the total volume within the range of the radar. These products reveal the highest reflectivities in all echoes, examine storm structure features, and determine the intensity of storms."
NCO ,Composite Reflectivity (8 Levels) ,248 nm ,N,"Composite Reflectivity is a display of maximum reflectivity for the total volume within the range of the radar. These products reveal the highest reflectivities in all echoes, examine storm structure features, and determine the intensity of storms."
N0C ,Correlation Coefficient (approx. elev. angle: 0.5 deg) ,162nm ,T,"Correlation Coefficient values are measurements related to the similarity between the behaviors of the horizontally and vertically polarized pulses and how they are behaving within a pulse volume. Values between 0.95 and 1.0 indicate near uniformity in pulse behavior. Meteorological targets with complex shapes, or with a large degree of variety, will generally have values between 0.85 and 0.95. Biological targets, anthropogenic targets, and ground clutter tend to cause very different behaviors between the pulses, resulting in values less than 0.9 (and often less than 0.7). The four lowest elevation angles are available."
